id;address;land_market_share;impr_market_share;total_market_share;land_appraisal_value;impr_appraisal_value;total_appraisal_value;land_approximate_size;impr_approximate_size;total_approximate_size;land_land_acres;impr_land_acres;total_land_acres;land_land_sqft;impr_land_sqft;total_land_sqft
07916159;10 LOS ROBLES ST, ARLINGTON, 76006;0;14806;14806;0;14806;14806;NULL;NULL;1216;NULL;NULL;0;NULL;NULL;0
07624425;100 ADIRONDACK TR, ARLINGTON, 76002;25000;179969;204969;25000;175072;200072;NULL;NULL;2451;NULL;NULL;0.1979;NULL;NULL;8624
07624425;100 ADIRONDACK TR, ARLINGTON, 76002;25000;179969;204969;25000;175072;200072;NULL;NULL;2451;NULL;NULL;0.1979;NULL;NULL;8624
02142708;100 BIRD DR, ARLINGTON, 76010;11000;110660;121660;11000;80951;91951;NULL;NULL;1326;NULL;NULL;0.2892;NULL;NULL;12600
02142708;100 BIRD DR, ARLINGTON, 76010;11000;110660;121660;11000;80951;91951;NULL;NULL;1326;NULL;NULL;0.2892;NULL;NULL;12600
02927233;100 CIMARRON LN, ARLINGTON, 76014;15000;78000;93000;15000;78000;93000;NULL;NULL;1462;NULL;NULL;0.198;NULL;NULL;8625
05148030;100 COLONY DR, ARLINGTON, 76002;20000;115843;135843;20000;115843;135843;NULL;NULL;1457;NULL;NULL;0.1915;NULL;NULL;8345
02927527;100 COUNTRYSIDE DR, ARLINGTON, 76014;15000;144413;159413;15000;144413;159413;NULL;NULL;2010;NULL;NULL;0.198;NULL;NULL;8625
06118801;100 E EMBERCREST DR, ARLINGTON, 76018;20000;170421;190421;20000;161625;181625;NULL;NULL;2132;NULL;NULL;0.176;NULL;NULL;7667
06678467;100 E LYNN CREEK DR, ARLINGTON, 76002;30000;193645;223645;30000;191121;221121;NULL;NULL;2337;NULL;NULL;0.218;NULL;NULL;9499
05146607;100 FREEDOM LN, ARLINGTON, 76002;20000;108655;128655;20000;101931;121931;NULL;NULL;1262;NULL;NULL;0.3746;NULL;NULL;16318
05221595;100 HARDIN DR, ARLINGTON, 76018;20000;137500;157500;20000;137500;157500;NULL;NULL;1618;NULL;NULL;0.2381;NULL;NULL;10372
02926954;100 HIDALGO LN, ARLINGTON, 76014;15000;134354;149354;15000;91601;106601;NULL;NULL;1783;NULL;NULL;0.198;NULL;NULL;8625
00907200;100 IBERIS CT, ARLINGTON, 76018;20000;119943;139943;20000;119943;139943;NULL;NULL;1579;NULL;NULL;0.2066;NULL;NULL;9000
00906581;100 JUNIPER DR, ARLINGTON, 76018;20000;112101;132101;20000;112101;132101;NULL;NULL;1360;NULL;NULL;0.2341;NULL;NULL;10200
00904899;100 KALMIA CT, ARLINGTON, 76018;20000;115007;135007;20000;108256;128256;NULL;NULL;1509;NULL;NULL;0.2341;NULL;NULL;10200
02928248;100 KAREN CT, ARLINGTON, 76014;15000;121554;136554;15000;87124;102124;NULL;NULL;1662;NULL;NULL;0.2391;NULL;NULL;10419
02928248;100 KAREN CT, ARLINGTON, 76014;15000;121554;136554;15000;87124;102124;NULL;NULL;1662;NULL;NULL;0.2391;NULL;NULL;10419
00904902;100 LEMON DR, ARLINGTON, 76018;20000;114140;134140;20000;114140;134140;NULL;NULL;1468;NULL;NULL;0.1928;NULL;NULL;8400
