id;address;land_market_share;impr_market_share;total_market_share;land_appraisal_value;impr_appraisal_value;total_appraisal_value;land_approximate_size;impr_approximate_size;total_approximate_size;land_land_acres;impr_land_acres;total_land_acres;land_land_sqft;impr_land_sqft;total_land_sqft
07624425;100 ADIRONDACK TR, ARLINGTON, 76002;25000;179969;204969;25000;175072;200072;NULL;NULL;2451;NULL;NULL;0.1979;NULL;NULL;8624
05148030;100 COLONY DR, ARLINGTON, 76002;20000;115843;135843;20000;115843;135843;NULL;NULL;1457;NULL;NULL;0.1915;NULL;NULL;8345
05146607;100 FREEDOM LN, ARLINGTON, 76002;20000;108655;128655;20000;101931;121931;NULL;NULL;1262;NULL;NULL;0.3746;NULL;NULL;16318
00906581;100 JUNIPER DR, ARLINGTON, 76018;20000;112101;132101;20000;112101;132101;NULL;NULL;1360;NULL;NULL;0.2341;NULL;NULL;10200
00904902;100 LEMON DR, ARLINGTON, 76018;20000;114140;134140;20000;114140;134140;NULL;NULL;1468;NULL;NULL;0.1928;NULL;NULL;8400
06075789;100 MOSS HILL DR, ARLINGTON, 76018;20000;126590;146590;20000;114405;134405;NULL;NULL;1360;NULL;NULL;0.1958;NULL;NULL;8533
02006170;100 PARKWOOD AVE, ARLINGTON, 76013;25000;85764;110764;25000;85764;110764;NULL;NULL;1456;NULL;NULL;0.3414;NULL;NULL;14875
01790110;100 RAY ST, ARLINGTON, 76010;32200;26785;58985;32200;26785;58985;NULL;NULL;1030;NULL;NULL;0.3696;NULL;NULL;16100
06119042;100 SIPES CT, ARLINGTON, 76018;20000;151581;171581;20000;151581;171581;NULL;NULL;1962;NULL;NULL;0.179;NULL;NULL;7797
00570559;100 VARSITY CIR, ARLINGTON, 76013;25000;228362;253362;25000;185335;210335;NULL;NULL;3125;NULL;NULL;0.4579;NULL;NULL;19950
01782916;100 W LILLY LN, ARLINGTON, 76010;30000;145476;175476;30000;144845;174845;NULL;NULL;2565;NULL;NULL;0.2823;NULL;NULL;12300
06853137;100 WESTBROOK DR, ARLINGTON, 76002;25000;193311;218311;25000;193311;218311;NULL;NULL;2657;NULL;NULL;0.2569;NULL;NULL;11194
06809529;1000 ANGEL FIRE LN, ARLINGTON, 76001;30000;168596;198596;30000;160180;190180;NULL;NULL;2174;NULL;NULL;0.198;NULL;NULL;8625
05188725;1000 ASHMOUNT LN, ARLINGTON, 76017;20000;115927;135927;20000;102452;122452;NULL;NULL;1444;NULL;NULL;0.1705;NULL;NULL;7431
07014163;1000 BANNACK DR, ARLINGTON, 76001;22000;118166;140166;22000;114243;136243;NULL;NULL;1507;NULL;NULL;0.2519;NULL;NULL;10977
04751949;1000 BERT DR, ARLINGTON, 76012;35000;189244;224244;35000;177960;212960;NULL;NULL;2279;NULL;NULL;0.2309;NULL;NULL;10062
06360556;1000 BREEZEWOOD DR, ARLINGTON, 76017;20000;142303;162303;20000;121286;141286;NULL;NULL;1698;NULL;NULL;0.1626;NULL;NULL;7084
04756479;1000 BRIARCLIFF DR, ARLINGTON, 76012;35000;206306;241306;35000;196836;231836;NULL;NULL;2266;NULL;NULL;0.2191;NULL;NULL;9545
07544626;1000 BRIDGES DR, ARLINGTON, 76012;40000;142367;182367;40000;142367;182367;NULL;NULL;1287;NULL;NULL;0;NULL;NULL;0
04750993;1000 BYRON LN, ARLINGTON, 76012;35000;212250;247250;35000;212250;247250;NULL;NULL;2303;NULL;NULL;0.2203;NULL;NULL;9600
02971062;1000 CARLA CT, ARLINGTON, 76014;15000;115816;130816;15000;96854;111854;NULL;NULL;1564;NULL;NULL;0.2344;NULL;NULL;10212
02972743;1000 CHAMBLEE CT, ARLINGTON, 76014;15000;105233;120233;15000;79138;94138;NULL;NULL;1534;NULL;NULL;0.2231;NULL;NULL;9720
04757521;1000 CLEMSON DR, ARLINGTON, 76012;0;0;0;0;0;0;NULL;NULL;1968;NULL;NULL;0.2156;NULL;NULL;9394
01431749;1000 CROWLEY RD, ARLINGTON, 76012;56000;231157;287157;56000;211594;267594;NULL;NULL;2604;NULL;NULL;0.3382;NULL;NULL;14732
02797968;1000 DARLENE LN, ARLINGTON, 76010;12000;87342;99342;12000;59753;71753;NULL;NULL;1064;NULL;NULL;0.2024;NULL;NULL;8820
40713229;1000 DOVE TR, ARLINGTON, 76002;30000;191696;221696;30000;163408;193408;NULL;NULL;2657;NULL;NULL;0.2019;NULL;NULL;8799
07843658;1000 DUNKIRK LN, ARLINGTON, 76017;0;0;0;0;0;0;NULL;NULL;1868;NULL;NULL;0.1699;NULL;NULL;7405
02972247;1000 E TIMBERVIEW LN, ARLINGTON, 76014;15000;107807;122807;15000;66070;81070;NULL;NULL;1554;NULL;NULL;0.1955;NULL;NULL;8520
04752015;1000 FIELD CREST CT, ARLINGTON, 76012;35000;189679;224679;35000;183378;218378;NULL;NULL;2463;NULL;NULL;0.1738;NULL;NULL;7571
05517427;1000 GALAXY DR, ARLINGTON, 76001;20000;122197;142197;20000;121359;141359;NULL;NULL;1512;NULL;NULL;0.1336;NULL;NULL;5822
02222035;1000 GLYNN OAKS DR, ARLINGTON, 76010;12000;83991;95991;12000;83991;95991;NULL;NULL;1419;NULL;NULL;0.2038;NULL;NULL;8880
00062448;1000 HIGHLAND DR, ARLINGTON, 76010;10000;70751;80751;10000;70751;80751;NULL;NULL;1318;NULL;NULL;0.2522;NULL;NULL;10990
