Date.Rptd,DR.NO,DATE.OCC,TIME.OCC,AREA,AREA.NAME,RD,Crm.Cd,CrmCd.Desc,Status,Status.Desc,LOCATION,Cross.Street,Location.1
03/20/2013,132007717,03/20/2013,2015,20,Olympic,2004,997,TRAFFIC DR #,UNK,Unknown,              OXFORD,   OAKWOOD,"(34.0776, -118.308)"
03/10/2013,130608787,03/10/2013,445,6,Hollywood,635,997,TRAFFIC DR #,UNK,Unknown,              ODIN                         ST,   CAHUENGA                     BL,"(34.1113, -118.3336)"
12/18/2013,131820260,12/18/2013,745,18,Southeast,1839,997,TRAFFIC DR #,UNK,Unknown,              105TH                        ST,   CROESUS                      AV,"(33.9406, -118.2338)"
10/18/2013,131817514,10/18/2013,1730,18,Southeast,1827,997,TRAFFIC DR #,UNK,Unknown,              101ST                        ST,   JUNIPER                      ST,"(33.9449, -118.2332)"
05/26/2013,130510483,05/25/2013,2000,5,Harbor,507,440,THEFT PLAIN - PETTY (UNDER $400),UNK,Unknown, 1300      W  SEPULVEDA                    BL,,"(33.8135, -118.2992)"
05/24/2013,131213618,05/22/2013,1145,12,77th Street,1211,997,TRAFFIC DR #,UNK,Unknown,              54TH,   CRENSHAW,"(33.9931, -118.3308)"
08/23/2014,140119745,08/23/2014,2240,1,Central,111,310,BURGLARY,IC,Invest Cont,  500      N  FIGUEROA                     ST,,"(34.0617, -118.2469)"
08/23/2014,142015263,08/23/2014,1337,20,Olympic,2023,901,VIOLATION OF RESTRAINING ORDER,IC,Invest Cont,  300      S  SERRANO                      AV,,"(34.069, -118.3066)"
08/22/2014,140119671,08/23/2014,1945,1,Central,111,210,ROBBERY,IC,Invest Cont,  900      N  HILL                         ST,,"(34.0644, -118.2387)"
08/22/2014,140915108,08/22/2014,825,9,Van Nuys,933,901,VIOLATION OF RESTRAINING ORDER,IC,Invest Cont,14600         CALVERT                      ST,,"(34.1817, -118.4509)"
08/22/2014,140915116,08/22/2014,800,9,Van Nuys,901,664,"BUNCO, PETTY THEFT",IC,Invest Cont,15300         SATICOY                      ST,,"(34.2085, -118.4662)"
08/22/2014,141316834,08/22/2014,735,13,Newton,1309,997,TRAFFIC DR #,IC,Invest Cont,              MATEO                        ST,   ENTERPRISE                   ST,"(34.0228, -118.2325)"
08/22/2014,142114498,08/23/2014,2019,21,Topanga,2126,901,VIOLATION OF RESTRAINING ORDER,IC,Invest Cont,21100         SATICOY                      ST,,"(34.2083, -118.5929)"
08/21/2014,141612661,08/21/2014,1030,16,Foothill,1687,510,VEHICLE - STOLEN,IC,Invest Cont,11200         VINEDALE                     ST,,"(34.2227, -118.3743)"
08/20/2014,141115368,08/21/2014,2000,11,Northeast,1171,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),IC,Invest Cont, 3800      W  SUNSET                       BL,,"(34.091, -118.2788)"
08/20/2014,141115372,08/21/2014,2030,11,Northeast,1143,330,BURGLARY FROM VEHICLE,IC,Invest Cont, 2800         GRIFFITH PARK                BL,,"(34.1075, -118.2732)"
08/20/2014,141612645,08/20/2014,1320,16,Foothill,1655,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,10500         ART                          ST,,"(34.2486, -118.3575)"
08/20/2014,141815866,08/20/2014,1930,18,Southeast,1806,997,TRAFFIC DR #,IC,Invest Cont,              AVALON                       BL,   88TH,"(33.9525, -118.2651)"
08/20/2014,142114446,08/20/2014,1530,21,Topanga,2189,943,CRUELTY TO ANIMALS,IC,Invest Cont, 5500         QUAKERTOWN                   AV,,"(34.1706, -118.5698)"
08/19/2014,140318169,08/22/2014,1430,3,Southwest,319,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,              FIGUEROA,   12TH,"(34.0419, -118.2669)"
